INSTITUTION_ID,LOGGROUPKEY,EODSERNO,EODCYCLESERNO,PARTITIONKEY,TABNAME,COLNAME,ROWSERNO,ROWPARTITIONKEY,DATETIMESTAMP,ACTIONTYPE,ACTION,USERNAME,REQUESTORID,OLDVALUE,NEWVALUE,CONVERTED
375,000000000000000000000000002C4506,2580,2580,37533120,services,status,4718842,37533120,9/6/2023 4:19:09 PM,U,Delete     ,PRM_APPSBCP,,A,D,
375,000000000000000000000000002C4506,2580,2580,37533120,services,status,4718841,37533120,9/6/2023 4:19:09 PM,U,Delete     ,PRM_APPSBCP,,A,D,
375,000000000000000000000000002C4506,2580,2580,37533120,services,status,4718840,37533120,9/6/2023 4:19:09 PM,U,Delete     ,PRM_APPSBCP,,A,D,
375,000000000000000000000000002C4506,2580,2580,37533120,services,status,4718838,37533120,9/6/2023 4:19:09 PM,U,Delete     ,PRM_APPSBCP,,A,D,
375,000000000000000000000000002C4506,2580,2580,37533120,services,status,4718836,37533120,9/6/2023 4:19:09 PM,U,Delete     ,PRM_APPSBCP,,A,D,
375,000000000000000000000000002C4506,2580,2580,37533120,services,status,4718831,37533120,9/6/2023 4:19:09 PM,U,Delete     ,PRM_APPSBCP,,A,D,
375,000000000000000000000000002C4506,2580,2580,37533120,services,status,4718830,37533120,9/6/2023 4:19:09 PM,U,Delete     ,PRM_APPSBCP,,A,D,
375,000000000000000000000000002C4506,2580,2580,37533120,services,status,4718826,37533120,9/6/2023 4:19:09 PM,U,Delete     ,PRM_APPSBCP,,A,D,
375,000000000000000000000000002C4506,2580,2580,37533120,services,status,4718822,37533120,9/6/2023 4:19:09 PM,U,Delete     ,PRM_APPSBCP,,A,D,
375,000000000000000000000000002C4506,2580,2580,37533120,services,status,4718820,37533120,9/6/2023 4:19:09 PM,U,Delete     ,PRM_APPSBCP,,A,D,
375,000000000000000000000000002C4506,2580,2580,37533120,services,status,4718819,37533120,9/6/2023 4:19:09 PM,U,Delete     ,PRM_APPSBCP,,A,D,
375,000000000000000000000000002C4506,2580,2580,37533120,services,status,4718818,37533120,9/6/2023 4:19:09 PM,U,Delete     ,PRM_APPSBCP,,A,D,
375,000000000000000000000000002C4506,2580,2580,37533120,services,status,4718817,37533120,9/6/2023 4:19:09 PM,U,Delete     ,PRM_APPSBCP,,A,D,
375,000000000000000000000000002C4506,2580,2580,37533120,services,status,4718816,37533120,9/6/2023 4:19:09 PM,U,Delete     ,PRM_APPSBCP,,A,D,
375,000000000000000000000000002C4506,2580,2580,37533120,services,status,4718814,37533120,9/6/2023 4:19:09 PM,U,Delete     ,PRM_APPSBCP,,A,D,
375,000000000000000000000000002C4506,2580,2580,37533120,services,status,4718813,37533120,9/6/2023 4:19:09 PM,U,Delete     ,PRM_APPSBCP,,A,D,
375,000000000000000000000000002C4506,2580,2580,37533120,services,status,4718811,37533120,9/6/2023 4:19:09 PM,U,Delete     ,PRM_APPSBCP,,A,D,
375,000000000000000000000000002C4506,2580,2580,37533120,services,status,4718810,37533120,9/6/2023 4:19:09 PM,U,Delete     ,PRM_APPSBCP,,A,D,
375,000000000000000000000000002C4506,2580,2580,37533120,services,status,4718808,37533120,9/6/2023 4:19:09 PM,U,Delete     ,PRM_APPSBCP,,A,D,
375,000000000000000000000000002C4506,2580,2580,37533120,services,status,4718807,37533120,9/6/2023 4:19:09 PM,U,Delete     ,PRM_APPSBCP,,A,D,
